2025-10-10 08:23:35.161 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:23:35.174 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 12ms
2025-10-10 08:23:35.175 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:23:35.175 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:23:35.181 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 5ms
2025-10-10 08:23:45.176 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:23:45.176 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:23:45.189 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 12ms
2025-10-10 08:23:45.190 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:23:45.190 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:23:45.197 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 7ms
2025-10-10 08:23:55.190 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:23:55.190 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:23:55.204 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 13ms
2025-10-10 08:23:55.204 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:23:55.205 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:23:55.211 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 5ms
2025-10-10 08:24:05.209 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:24:05.209 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:24:05.223 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 14ms
2025-10-10 08:24:05.223 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpRoleCache
2025-10-10 08:24:05.224 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpRoleCache
2025-10-10 08:24:05.231 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpRoleCache: 6 → 6 items, time: 6ms
2025-10-10 08:24:15.235 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Force refresh cache for AccountFtpCache
2025-10-10 08:24:15.236 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | DEBUG | >> Start cache update for AccountFtpCache
2025-10-10 08:24:15.249 | com.neo.ftpserver.cache.CacheSwapService | scheduling-1 | INFO | >> Cache swapped successfully for AccountFtpCache: 1 → 1 items, time: 13ms
